set_code,set_name,set_url,card_no,name,jp_name,card_url,grade,nation,type,rarity
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/001,"Dragritter, Lateefa",ドラグリッター ラティーファ,"https://cardfight.fandom.com/wiki/Dragritter,_Lateefa",2,Dragon Empire,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/002,"Red Jeweled Beast, Galnet",赤宝獣ガルネット,"https://cardfight.fandom.com/wiki/Red_Jeweled_Beast,_Galnet",1,Dragon Empire,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/003,"Whirlwind Dragon, Wardorn",旋風竜ヴォルドーン,"https://cardfight.fandom.com/wiki/Whirlwind_Dragon,_Wardorn",1,Dragon Empire,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/004,"Dragritter, Nasruddin",ドラグリッター ナズルディーン,"https://cardfight.fandom.com/wiki/Dragritter,_Nasruddin",1,Dragon Empire,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/005,"Inquirer of Knowledge, Selseera",知の探究者セルセーラ,"https://cardfight.fandom.com/wiki/Inquirer_of_Knowledge,_Selseera",3,Dark States,Persona Ride,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/006,"Famed Blazing Demonic Lady, Oriens",麗焔魔嬢オリエンス,"https://cardfight.fandom.com/wiki/Famed_Blazing_Demonic_Lady,_Oriens",2,Dark States,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/007,"Timeturner Dragon, Clockwize",時廻竜クロックワイズ,"https://cardfight.fandom.com/wiki/Timeturner_Dragon,_Clockwize",1,Dark States,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/008,"Purple Jeweled Beast, Almethys",紫宝獣アルメジス,"https://cardfight.fandom.com/wiki/Purple_Jeweled_Beast,_Almethys",1,Dark States,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/009,"Fiendish Calamity Dragon, Maidirogue",妖厄竜マイディローグ,"https://cardfight.fandom.com/wiki/Fiendish_Calamity_Dragon,_Maidirogue",1,Dark States,,RRR
VGE-DZ-SS16,The Legendary Vanguards,https://cardfight.fandom.com/wiki/DZ_Special_Series_16:_The_Legendary_Vanguards,DZ-SS16/010,"Magnetism Monster, Magnides",磁力怪獣マグニデス,"https://cardfight.fandom.com/wiki/Magnetism_Monster,_Magnides",2,Brandt Gate,,RRR
